;JR;id;genus;species;gensp;sex;svl;femur;tib;tarsus;foot;head.length;head.width;humerus;radioulna;hand;fing.pad.L;fing.pad.W;toe.pad.L;toe.pad.W;fing.area;toe.area;HL.Webbing;ecomorph
202;JR100;242;Albericus;gunneri;Albericus gunneri;m;17.47;8.08;7.88;5.03;6.31;4.57;5.67;5.73;3.9;5.55;0.29;0.72;0.37;0.62;0.836496;0.720316;0;scansorial
215;JR118;239;Albericus;gunneri;Albericus gunneri;m;16.01;7.6;7.29;4.59;5.21;4.71;5.48;4.93;4.79;4.7;0.57;0.94;0.42;0.77;1.239672;1.015476;0;scansorial
217;JR120;238;Albericus;gunneri;Albericus gunneri;m;16.77;7.96;7.5;5.29;6.12;5.12;5.58;5.03;4.97;5.11;0.73;1.14;0.59;0.9;2.111964;1.66734;0;scansorial
220;JR124;270;Albericus;gunneri;Albericus gunneri;m;15.99;7.57;7.3;4.63;6.67;4.91;5.72;4.74;4.59;4.78;0.36;0.85;0.49;0.77;1.30781;1.184722;0;scansorial
222;JR127;281;Albericus;gunneri;Albericus gunneri;m;16.48;7.94;7.45;4.71;5.86;4.15;5.58;5.12;5.04;4.74;0.53;0.85;0.45;0.7;1.20105;0.9891;0;scansorial
223;JR13;290;Albericus;gunneri;Albericus gunneri;m;16.19;7.6;6.97;4.7;6.68;3.88;5.26;4.92;3.96;5.09;0.59;1.01;0.64;0.85;2.029696;1.70816;0;scansorial
233;JR149;283;Albericus;gunneri;Albericus gunneri;m;16.8;7.66;7.38;4.92;4.5;4.51;5.09;5.99;5.35;5.33;0.39;0.95;0.36;0.48;1.07388;0.542592;0;scansorial
234;JR15;339;Albericus;gunneri;Albericus gunneri;m;14.79;7.43;6.6;4.28;5.61;4.56;4.79;5.16;4.18;4.64;0.68;0.97;0.52;0.77;1.583816;1.257256;0;scansorial
253;JR17;307;Albericus;gunneri;Albericus gunneri;f;14.47;7.73;6.92;4.46;5.58;4.42;4.89;5.11;3.98;4.7;0.72;0.72;0.51;0.77;1.153008;1.233078;0;scansorial
292;JR22;308;Albericus;gunneri;Albericus gunneri;m;17.66;8.83;7.35;4.92;5.83;4.89;5.35;5.11;4.62;5.52;0.55;1.24;0.68;0.81;2.647648;1.729512;0;scansorial
475;JR4;304;Albericus;gunneri;Albericus gunneri;m;16.32;7;7.08;4.85;6.23;5.27;5.47;5.2;4.25;5.32;0.63;1.06;0.31;0.69;1.031804;0.671646;0;scansorial
508;JR47;344;Albericus;gunneri;Albericus gunneri;m;17.05;6.9;7.36;4.87;5.36;4.53;5.03;5.11;4.23;5.37;0.65;1.25;0.61;0.95;2.39425;1.81963;0;scansorial
510;JR5;240;Albericus;gunneri;Albericus gunneri;m;16.34;7.07;7.19;5.35;6.12;4.55;5.57;5.28;4.52;5.61;0.74;0.99;0.79;0.83;2.455794;2.058898;0;scansorial
522;JR60;201;Albericus;gunneri;Albericus gunneri;f;14.5;6.99;6.78;4.32;4.87;4.57;5.28;4.89;4.16;4.14;0.72;0.84;0.59;0.69;1.556184;1.278294;0;scansorial
531;JR7;301;Albericus;gunneri;Albericus gunneri;m;15.54;7.64;7.47;4.66;6.52;4.34;5.86;5.38;4.06;5.04;0.96;1.27;0.81;0.99;3.230118;2.517966;0;scansorial
538;JR76;321;Albericus;gunneri;Albericus gunneri;m;16.32;7.43;6.79;4.53;5.37;4.16;5.7;4.92;3.61;4.89;0.53;0.98;0.61;0.79;1.877092;1.513166;0;scansorial
542;JR8;320;Albericus;gunneri;Albericus gunneri;m;16.25;8.13;7.22;4.59;6.53;4.71;5.09;5.51;4.38;5.06;0.97;1.37;0.51;0.74;2.193918;1.185036;0;scansorial
543;JR80;322;Albericus;gunneri;Albericus gunneri;m;16.8;7.17;7.47;5.04;6.75;5.39;5.7;5.4;4.23;5.37;0.82;0.94;0.52;0.78;1.534832;1.273584;0;scansorial
544;JR81;343;Albericus;gunneri;Albericus gunneri;m;16.33;7.06;7.1;4.34;5.35;4.86;5.25;4.97;4.47;4.81;0.75;1.52;0.84;0.95;4.009152;2.50572;0;scansorial
545;JR82;300;Albericus;gunneri;Albericus gunneri;m;17.56;7.44;6.89;4.56;6.45;4.31;5.42;5.17;4.09;5.31;0.57;1.26;0.75;1.04;2.9673;2.4492;0;scansorial
